sample_id,dataset_id,label_id,label_name,entity_key,start_line_no,end_line_no,total_records,error_cnt,warn_cnt,info_cnt,error_ratio,template_counts_json,keyword_counts_json,top_templates_json,error_examples_json
normal#2f093863-6416-4d09-ac00-7ea45d932d36,normal,0,normal,2f093863-6416-4d09-ac00-7ea45d932d36,111,299,16,0,0,16,0.0,"{""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""810192ce"": 1, ""86e61357"": 1, ""8afc829a"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""cd7d27ba"": 1, ""f16f63db"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""af8954af"", ""f16f63db"", ""fbe941c1"", ""8afc829a"", ""4d69fb36"", ""86e61357""]",[]
normal#dbb26294-5c0f-4970-ab33-43e3d411e9bb,normal,0,normal,dbb26294-5c0f-4970-ab33-43e3d411e9bb,133,320,17,0,0,17,0.0,"{""1886cc7a"": 1, ""23c6f986"": 1, ""3c22b41e"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""61d55ed7"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""e5964a41"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""e5964a41"", ""23c6f986"", ""fbd432b6"", ""61d55ed7"", ""fbe941c1"", ""4d69fb36""]",[]
normal#e4faecd7-54e4-470b-83af-8c021fb864d7,normal,0,normal,e4faecd7-54e4-470b-83af-8c021fb864d7,149,340,17,0,0,17,0.0,"{""23c6f986"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""67015fdf"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""a2b34e50"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c1e20390"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""c6eb2a48"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""67015fdf"", ""23c6f986"", ""fbd432b6"", ""c1e20390"", ""fbe941c1"", ""4d69fb36""]",[]
normal#d217d302-8e85-4124-9178-24b33e15bfa1,normal,0,normal,d217d302-8e85-4124-9178-24b33e15bfa1,173,360,18,0,0,18,0.0,"{""23c6f986"": 2, ""3ecae4f6"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""725bf183"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""9f543f10"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""e75c407d"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""9f543f10"", ""725bf183"", ""4d69fb36""]",[]
normal#4ffa6f8d-76c3-4aef-a3a0-f0a0a5c077de,normal,0,normal,4ffa6f8d-76c3-4aef-a3a0-f0a0a5c077de,193,381,18,0,0,18,0.0,"{""1256d5cc"": 1, ""23c6f986"": 2, ""277e7581"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""484f7926"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""da539aa3"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""1256d5cc"", ""277e7581"", ""4d69fb36""]",[]
normal#90419b8c-39d8-4d8c-b7c0-fa2a8abb30a7,normal,0,normal,90419b8c-39d8-4d8c-b7c0-fa2a8abb30a7,216,402,17,0,0,17,0.0,"{""23c6f986"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""57b29551"": 1, ""7bb1bd13"": 1, ""810192ce"": 1, ""86e61357"": 1, ""9ef7b89c"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c0cd8f36"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""9ef7b89c"", ""23c6f986"", ""fbd432b6"", ""fbe941c1"", ""c0cd8f36"", ""4d69fb36""]",[]
normal#8f6e0fcd-be00-481e-ab11-6456e625d93d,normal,0,normal,8f6e0fcd-be00-481e-ab11-6456e625d93d,235,421,19,0,0,19,0.0,"{""1f9c3de2"": 1, ""23c6f986"": 3, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7ab99c97"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""8ecac058"": 1, ""a03daa0f"": 1, ""ab8a88fe"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""ab8a88fe"", ""1f9c3de2"", ""4d69fb36""]",[]
normal#b3ab54d4-3764-4254-a1ae-5ed7ace9a188,normal,0,normal,b3ab54d4-3764-4254-a1ae-5ed7ace9a188,255,443,17,0,0,17,0.0,"{""10adeb51"": 1, ""23c6f986"": 1, ""26a7f95c"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""42952f1b"": 1, ""4d69fb36"": 1, ""7a9005ff"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""90b2031f"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""26a7f95c"", ""23c6f986"", ""fbd432b6"", ""90b2031f"", ""10adeb51"", ""fbe941c1""]",[]
normal#9c866b19-7db4-4676-9791-db1b0584c2e4,normal,0,normal,9c866b19-7db4-4676-9791-db1b0584c2e4,277,466,16,0,0,16,0.0,"{""0baac032"": 1, ""23c6f986"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4465143f"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""81aa0ee2"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""d1175252"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""23c6f986"", ""fbe941c1"", ""af8954af"", ""0baac032"", ""d1175252"", ""4d69fb36""]",[]
normal#d3332800-3a00-4825-a6d8-2217becaacc1,normal,0,normal,d3332800-3a00-4825-a6d8-2217becaacc1,300,484,16,0,0,16,0.0,"{""23c6f986"": 1, ""3f0cc10b"": 1, ""403d5c93"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""642c85f5"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""d7e153f5"": 1, ""f918d0f4"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""f918d0f4"", ""23c6f986"", ""fbd432b6"", ""403d5c93"", ""fbe941c1"", ""4d69fb36""]",[]
normal#636ff8e5-dfe9-4e3b-a2bb-7060d9a36296,normal,0,normal,636ff8e5-dfe9-4e3b-a2bb-7060d9a36296,319,503,17,0,0,17,0.0,"{""018aad3a"": 1, ""23c6f986"": 1, ""3f0cc10b"": 1, ""401a653d"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""56333527"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c1b61530"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""401a653d"", ""23c6f986"", ""fbd432b6"", ""c1b61530"", ""fbe941c1"", ""4d69fb36""]",[]
normal#e19b1074-29ab-42d0-88b0-8c8500d5e0f0,normal,0,normal,e19b1074-29ab-42d0-88b0-8c8500d5e0f0,339,523,16,0,0,16,0.0,"{""23c6f986"": 1, ""254592bf"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""4dd6cf77"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""9cea5f01"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""c7da9a61"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""9cea5f01"", ""23c6f986"", ""fbd432b6"", ""4dd6cf77"", ""fbe941c1"", ""4d69fb36""]",[]
normal#d8eb0147-473c-4287-8ddf-2fbbfcd01845,normal,0,normal,d8eb0147-473c-4287-8ddf-2fbbfcd01845,359,543,17,0,0,17,0.0,"{""0efa69f0"": 1, ""23c6f986"": 2, ""3c3cad3e"": 1, ""3f0cc10b"": 1, ""41ad8c7c"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""cfb1872b"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""41ad8c7c"", ""cfb1872b"", ""4d69fb36""]",[]
normal#133b36ec-53dc-487c-bf0c-2e3a4420bca6,normal,0,normal,133b36ec-53dc-487c-bf0c-2e3a4420bca6,379,563,18,0,0,18,0.0,"{""23c6f986"": 2, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""828b9a94"": 1, ""86e61357"": 1, ""915b699d"": 1, ""a03daa0f"": 1, ""a9d444f7"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""dcd430b8"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""dcd430b8"", ""915b699d"", ""4d69fb36""]",[]
normal#da2b85ca-6224-4a9c-8300-13f014215746,normal,0,normal,da2b85ca-6224-4a9c-8300-13f014215746,400,583,18,0,0,18,0.0,"{""15fd876d"": 1, ""23c6f986"": 2, ""36219d23"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""62830f93"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""b51f12cf"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""62830f93"", ""36219d23"", ""4d69fb36""]",[]
normal#3b324204-7bde-4c13-b751-5a43d40a636c,normal,0,normal,3b324204-7bde-4c13-b751-5a43d40a636c,422,602,17,0,0,17,0.0,"{""23c6f986"": 2, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""5fa47673"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""b0e65208"": 1, ""b16b1b6b"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbdf922f"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""b0e65208"", ""b16b1b6b"", ""4d69fb36""]",[]
normal#62399c95-bdd5-4325-9521-3fb233c7ad1b,normal,0,normal,62399c95-bdd5-4325-9521-3fb233c7ad1b,441,621,18,0,0,18,0.0,"{""1c2ce162"": 1, ""23c6f986"": 2, ""2f9e4a94"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""598cf5b8"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""94281def"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""1c2ce162"", ""94281def"", ""4d69fb36""]",[]
normal#327dc05a-1486-480f-bcfa-2d870b7eb1e6,normal,0,normal,327dc05a-1486-480f-bcfa-2d870b7eb1e6,461,637,16,0,0,16,0.0,"{""0ba1b830"": 1, ""23c6f986"": 1, ""25a9157d"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""9a957cc5"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""c71b628b"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""c71b628b"", ""23c6f986"", ""fbd432b6"", ""0ba1b830"", ""fbe941c1"", ""4d69fb36""]",[]
normal#59bb106a-b741-4b4b-a1f6-6caa7fa57302,normal,0,normal,59bb106a-b741-4b4b-a1f6-6caa7fa57302,482,657,18,0,0,18,0.0,"{""0ba1b830"": 1, ""23c6f986"": 2, ""3f0cc10b"": 1, ""428a3b40"": 1, ""443ac363"": 1, ""4d69fb36"": 1, ""5b0c9fc3"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bb50c919"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""443ac363"", ""0ba1b830"", ""4d69fb36""]",[]
normal#6c31546a-4c61-4350-9e99-67c9dac81c43,normal,0,normal,6c31546a-4c61-4350-9e99-67c9dac81c43,502,678,17,0,0,17,0.0,"{""03ed9a6f"": 1, ""23c6f986"": 2, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""515f814f"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""870d05ec"": 1, ""984e8819"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""515f814f"", ""03ed9a6f"", ""4d69fb36""]",[]
normal#ba654fe0-9e42-4c8b-bb2b-debfffa1a69d,normal,0,normal,ba654fe0-9e42-4c8b-bb2b-debfffa1a69d,522,697,18,0,0,18,0.0,"{""23c6f986"": 2, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""64ea1f0c"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""935035b2"": 1, ""9a50c1ea"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""ca29c7d3"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""64ea1f0c"", ""9a50c1ea"", ""4d69fb36""]",[]
normal#9191c3b7-7c69-44b7-95b0-c1a3bcbca5bd,normal,0,normal,9191c3b7-7c69-44b7-95b0-c1a3bcbca5bd,542,716,18,0,0,18,0.0,"{""23c6f986"": 2, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""849d689e"": 1, ""86e61357"": 1, ""8cac7228"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""cb14b0c6"": 1, ""e1fce2ed"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""e1fce2ed"", ""8cac7228"", ""4d69fb36""]",[]
normal#8505e839-8c3f-40a0-8eff-41c36ba17e9d,normal,0,normal,8505e839-8c3f-40a0-8eff-41c36ba17e9d,564,741,17,0,0,17,0.0,"{""0b52f7ad"": 1, ""23c6f986"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""bce59009"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""ca4c7fc5"": 1, ""cef509b0"": 1, ""e290a8c7"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""e290a8c7"", ""ca4c7fc5"", ""23c6f986"", ""fbd432b6"", ""fbe941c1"", ""4d69fb36""]",[]
normal#6898c794-4570-457a-996a-69450c88a450,normal,0,normal,6898c794-4570-457a-996a-69450c88a450,584,768,16,0,0,16,0.0,"{""1b4c063a"": 1, ""23c6f986"": 1, ""298b0cab"": 1, ""3f0cc10b"": 1, ""428a3b40"": 1, ""48f92e90"": 1, ""4d69fb36"": 1, ""7bb1bd13"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""e5e329f7"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""c4693083"", ""c4268e60"", ""7bb1bd13"", ""af8954af"", ""e5e329f7"", ""23c6f986"", ""fbd432b6"", ""1b4c063a"", ""fbe941c1"", ""4d69fb36""]",[]
normal#9f24f074-4b4e-4786-b965-d8a11fa9de63,normal,0,normal,9f24f074-4b4e-4786-b965-d8a11fa9de63,603,781,17,0,0,17,0.0,"{""23c6f986"": 2, ""3f0cc10b"": 1, ""428a3b40"": 1, ""491de708"": 1, ""4d69fb36"": 1, ""642a33c0"": 1, ""7bb1bd13"": 1, ""8267157d"": 1, ""86e61357"": 1, ""a03daa0f"": 1, ""af8954af"": 1, ""c03bc4d9"": 1, ""c4268e60"": 1, ""c4693083"": 1, ""fbd432b6"": 1, ""fbe941c1"": 1}",{},"[""23c6f986"", ""c4693083"", ""c4268e60"", ""7bb1bd13"", ""fbd432b6"", ""fbe941c1"", ""af8954af"", ""642a33c0"", ""c03bc4d9"", ""4d69fb36""]",[]
